adm,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AL,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
AK,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
AZ,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
AR,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
CA,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M
CO,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k
CT,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,n<100k,100k<n<250k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
DE,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k,n<100k
FL,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,750k<n<1M,750k<n<1M,750k<n<1M,250k<n<750k,250k<n<750k,750k<n<1M,750k<n<1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,n>1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,750k<n<1M,250k<n<750k
GA,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,100k<n<250k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k,250k<n<750k
